file,verdict,reason,n_bars,n_anchors_1,d_iv_1,d_ac_1,d_de_1,d_iv_15,d_ac_15,d_de_15,d_iv_2,d_ac_2,d_de_2
"NYMEX_DL_PA1!, 15.csv",REJECTS,3/3 d>0 (wrong direction),20746,10990,0.24727634344399732,0.4307410684852908,0.7346013874553007,0.3566660416719982,0.5024748633035596,0.698745506857144,0.3497288245623154,0.49795469938379017,0.7055019431543559
"NYMEX_DL_PA1!, 1D.csv",REJECTS,2/3 d>0 (wrong direction),10261,5046,-0.6949369857353134,0.5318313045942152,0.9317135134387161,-0.6768673804060726,0.6363669159444546,1.0545666382688261,-0.6299069125113645,0.7355838300564914,1.205126847521084
"NYMEX_DL_PA1!, 60.csv",REJECTS,3/3 d>0 (wrong direction),23064,12554,0.1973128211279144,0.446243476575949,0.8940305653280227,0.3073654958330547,0.5404411718895952,0.9241680801144239,0.3716053101248332,0.5183475993533839,0.8760621998278779
"OANDA_EURUSD, 15 (2).csv",REJECTS,3/3 d>0 (wrong direction),20786,10979,0.435134292500547,0.5599569867311321,0.8023389195530947,0.5498100926258537,0.6121951252793225,0.7684833731111729,0.59968131316835,0.5599168968033703,0.8229011614304017
"OANDA_EURUSD, 1D (1).csv",REJECTS,3/3 d>0 (wrong direction),6254,3396,0.6126115607779453,0.6518391239898924,0.8694246149227438,0.7810200191164378,0.7604697706575415,0.9049204315768277,0.8314857153816262,0.8086647028524089,0.9092042183720068
"OANDA_EURUSD, 60 (1).csv",REJECTS,3/3 d>0 (wrong direction),21276,11458,0.6252215931757966,0.5731985536655281,1.0148233374844995,0.7559425761060442,0.613466554609308,1.0274074025982123,0.7670265237285856,0.5387451796844173,1.0207350280242877
"OANDA_USDJPY, 15.csv",REJECTS,3/3 d>0 (wrong direction),20785,11328,0.3864806962740531,0.504411524560602,0.7779974263728384,0.5120087125457982,0.5683614262435992,0.784751608390631,0.5511011290052353,0.5246246544321169,0.8677273171152394
"OANDA_USDJPY, 1D.csv",REJECTS,3/3 d>0 (wrong direction),6254,3300,0.5479099635789597,0.5926657040689404,0.9233476585288557,0.7407524002476649,0.7383915733655344,1.042010190619108,0.8281278518474032,0.8136662896123109,1.0029644361940544
"OANDA_USDJPY, 60.csv",REJECTS,3/3 d>0 (wrong direction),21276,11685,0.597860183773585,0.6491170565044183,1.1115497324663495,0.7545940245281209,0.7059758352913885,1.1373870366595784,0.8388631884596905,0.6704388289804456,1.180025387025181
"TVC_DXY, 15.csv",REJECTS,3/3 d>0 (wrong direction),21680,11647,0.4649224212596126,0.5852423586459335,0.841099580960117,0.5962679055083157,0.6420016799618892,0.8315552765603424,0.6536643507789879,0.6010751348309192,0.8760689523753687
"TVC_DXY, 1D.csv",REJECTS,3/3 d>0 (wrong direction),14042,7848,0.6469730522022192,0.7663074267045105,1.1645802662330986,0.8172829379372603,0.8683124559938012,1.1631228946953251,0.8831994128423087,0.9205886832436525,1.0962433796752507
"TVC_DXY, 60.csv",REJECTS,3/3 d>0 (wrong direction),21109,11588,0.6603788176225723,0.6066455004625231,1.0881339570405146,0.8165083791644027,0.663858450825838,1.0787888825660878,0.8739940809414453,0.610723007692551,1.09907530613014
"TVC_PLATINUM, 15.csv",REJECTS,3/3 d>0 (wrong direction),21662,11152,9.880953492105139e-05,0.3221045362875202,0.6919548508702831,0.14300166478710108,0.43166457531693797,0.7206900199498911,0.19603044742310452,0.4251306212681924,0.7365978127583553
"TVC_PLATINUM, 1D.csv",REJECTS,3/3 d>0 (wrong direction),10576,5206,0.02133847064749503,0.5729640261415562,0.8830548494566496,0.08247546679606631,0.6794256177136659,0.9777722901739376,0.06816548390474966,0.742958107254307,1.0742769177765983
"TVC_PLATINUM, 60.csv",REJECTS,2/3 d>0 (wrong direction),25774,13837,-0.35676081476449856,0.31001832931601897,0.6844243809937728,-0.2558696428096327,0.3784411668475549,0.660925745598399,-0.2127797282084843,0.3511624472613965,0.5680017535953604
"TVC_SILVER, 15.csv",REJECTS,2/3 d>0 (wrong direction),21847,11741,-0.2014587463397325,0.5392223954728442,0.8658080722902545,-0.11508529567282226,0.6150716766529469,0.8769549361033023,0.003657661068020678,0.5874657695910057,0.9235431707724585
"TVC_SILVER, 1D.csv",REJECTS,2/3 d>0 (wrong direction),14805,7469,-0.9013848532900712,0.5963579578384641,1.1703759907172417,-0.8567134175499712,0.6921988363764251,1.244299976191271,-0.6655426358979736,0.7580590296054711,1.3802061205629759
"TVC_US10Y, 15.csv",REJECTS,3/3 d>0 (wrong direction),20892,10922,0.4960029691476843,0.4713055922856497,0.9494614108471491,0.6291790443730161,0.5323848415180787,0.8293485376356584,0.7568341521917743,0.487475646760905,0.7153607494801991
"TVC_US10Y, 1D.csv",REJECTS,3/3 d>0 (wrong direction),8216,4698,0.5877773823914356,0.6421037605473409,0.8128228635649531,0.7314428357823272,0.760794248527246,0.8593374370999627,0.8591587830803633,0.8359555314680444,0.9250037644580327
"TVC_US10Y, 60.csv",REJECTS,3/3 d>0 (wrong direction),24208,13094,0.6114104265929416,0.6074076109890187,1.14275116905346,0.7316191961540652,0.6583262419810997,1.1131717382518185,0.7361014343116632,0.6100929944803994,0.9859045315312568
